Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A review on smart home present state and challenges: linked to context-awareness internet of things (IoT)","Wireless Networks","","25","6","10.1007/s11276-018-1712-5","Zahrah A. AlmusaylimNoor Zaman","2019","http://link.springer.com/article/10.1007/s11276-018-1712-5","Article"
"Towards Integration of Cloud Computing with Internet of Things","Principles of Internet of Things (IoT) Ecosystem: Insight Paradigm","","","","10.1007/978-3-030-33596-0_9","Junaid Latief ShahHeena Farooq Bhat","2020","http://link.springer.com/chapter/10.1007/978-3-030-33596-0_9","Chapter"
"Applications of the Internet of Things with the Cloud Computing Technologies: A Review","Edge Computing","","","","10.1007/978-3-319-99061-3_5","U. Ram JagannathS. SaravananS. Kanimozhi Suguna","2019","http://link.springer.com/chapter/10.1007/978-3-319-99061-3_5","Chapter"
"The impact of the hybrid platform of internet of things and cloud computing on healthcare systems: opportunities, challenges, and open problems","Journal of Ambient Intelligence and Humanized Computing","","10","10","10.1007/s12652-017-0659-1","Ashraf DarwishAboul Ella HassanienMohamed ElhosenyArun Kumar SangaiahKhan Muhammad","2019","http://link.springer.com/article/10.1007/s12652-017-0659-1","Article"
"Context-aware cloud-based systems: design aspects","Cluster Computing","","22","5","10.1007/s10586-017-1425-z","Hamed Vahdat-NejadShaghayegh IzadpanahShaghayegh Ostadi-Eilaki","2019","http://link.springer.com/article/10.1007/s10586-017-1425-z","Article"
"Mobile and Pervasive Computing for Urban Development","Computing and Communication Systems in Urban Development","","","","10.1007/978-3-030-26013-2_1","Anandakumar HaldoraiArulmurugan RamuSuriya Murugan","2019","http://link.springer.com/chapter/10.1007/978-3-030-26013-2_1","Chapter"
"Ubiquitous Manufacturing in the Age of Industry 4.0: A State-of-the-Art Primer","A Roadmap to Industry 4.0: Smart Production, Sharp Business and Sustainable Development","","","","10.1007/978-3-030-14544-6_5","Pijush Kanti Dutta PramanikBulbul MukherjeeSaurabh PalBijoy Kumar UpadhyayaShubhendu Dutta","2020","http://link.springer.com/chapter/10.1007/978-3-030-14544-6_5","Chapter"
"Cyber-Physical Cloud Computing Systems and Internet of Everything","Principles of Internet of Things (IoT) Ecosystem: Insight Paradigm","","","","10.1007/978-3-030-33596-0_8","Maninder Jeet KaurSadia RiazArif Mushtaq","2020","http://link.springer.com/chapter/10.1007/978-3-030-33596-0_8","Chapter"
"Toward Uniform Smart Healthcare Ecosystems: A Survey on Prospects, Security, and Privacy Considerations","Connected Health in Smart Cities","","","","10.1007/978-3-030-27844-1_5","Hadi HabibzadehTolga Soyata","2020","http://link.springer.com/chapter/10.1007/978-3-030-27844-1_5","Chapter"
"Trust-based recommendation systems in Internet of Things: a systematic literature review","Human-centric Computing and Information Sciences","","9","1","10.1186/s13673-019-0183-8","Venus MohammadiAmir Masoud RahmaniAso Mohammed DarweshAmir Sahafi","2019","http://link.springer.com/article/10.1186/s13673-019-0183-8","Article"
"Pervasive computing middleware: current trends and emerging challenges","CCF Transactions on Pervasive Computing and Interaction","","1","1","10.1007/s42486-019-00005-2","Christian BeckerChristine JulienPhilippe LalandaFranco Zambonelli","2019","http://link.springer.com/article/10.1007/s42486-019-00005-2","Article"
"Performance Evaluation of Two New Lightweight Real-Time Scheduling Mechanisms for Ubiquitous and Mobile Computing Environments","Arabian Journal for Science and Engineering","","44","4","10.1007/s13369-018-3409-6","Alireza SalehanHossein DeldariSaeid Abrishami","2019","http://link.springer.com/article/10.1007/s13369-018-3409-6","Article"
"Incorporating Artificial Intelligence into Medical Cyber Physical Systems: A Survey","Connected Health in Smart Cities","","","","10.1007/978-3-030-27844-1_8","Omid Rajabi ShishvanDaphney-Stavroula ZoisTolga Soyata","2020","http://link.springer.com/chapter/10.1007/978-3-030-27844-1_8","Chapter"
"The application of internet of things in healthcare: a systematic literature review and classification","Universal Access in the Information Society","","18","4","10.1007/s10209-018-0618-4","Hossein AhmadiGoli ArjiLeila ShahmoradiReza SafdariMehrbakhsh NilashiMojtaba Alizadeh","2019","http://link.springer.com/article/10.1007/s10209-018-0618-4","Article"
"A Review on Routing in Internet of Things","Wireless Personal Communications","","","","10.1007/s11277-019-06853-6","J. MariettaB. Chandra Mohan","2019","http://link.springer.com/article/10.1007/s11277-019-06853-6","Article"
"Visible Light Communications in Industrial Internet of Things (IIoT)","The Internet of Things in the Industrial Sector","","","","10.1007/978-3-030-24892-5_8","Bugra TuranKadir Alpaslan DemirBurak SonerSinem Coleri Ergen","2019","http://link.springer.com/chapter/10.1007/978-3-030-24892-5_8","Chapter"
"Defense 4.0: Internet of Things in Military","Emerging Technologies for Economic Development","","","","10.1007/978-3-030-04370-4_14","Serhat BurmaogluOzcan SaritasHaydar Yalcin","2019","http://link.springer.com/chapter/10.1007/978-3-030-04370-4_14","Chapter"
"Sustainable Cloud Computing Realization for Different Applications: A Manifesto","Digital Business","","","","10.1007/978-3-319-93940-7_4","Sukhpal Singh GillRajkumar Buyya","2019","http://link.springer.com/chapter/10.1007/978-3-319-93940-7_4","Chapter"
"Ambient Intelligence for Patient-Centric Healthcare Delivery: Technologies, Framework, and Applications","Design Frameworks for Wireless Networks","","","","10.1007/978-981-13-9574-1_10","G. S. KarthickP. B. Pankajavalli","2020","http://link.springer.com/chapter/10.1007/978-981-13-9574-1_10","Chapter"
"Edge Computing Based Applications in Vehicular Environments: Comparative Study and Main Issues","Journal of Computer Science and Technology","","34","4","10.1007/s11390-019-1947-3","Leo MendiboureMohamed-Aymen ChaloufFrancine Krief","2019","http://link.springer.com/article/10.1007/s11390-019-1947-3","Article"
"Context awareness in healthcare: a systematic literature review","Universal Access in the Information Society","","","","10.1007/s10209-019-00664-z","Luis Claudio GubertCristiano André da CostaRodrigo da Rosa Righi","2019","http://link.springer.com/article/10.1007/s10209-019-00664-z","Article"
"Blockchain for Security Issues of Internet of Things (IoT)","Principles of Internet of Things (IoT) Ecosystem: Insight Paradigm","","","","10.1007/978-3-030-33596-0_24","Riya SapraParneeta Dhaliwal","2020","http://link.springer.com/chapter/10.1007/978-3-030-33596-0_24","Chapter"
"Security in Ubiquitous Computing Environment: Vulnerabilities, Attacks and Defenses","Ubiquitous Computing and Computing Security of IoT","","","","10.1007/978-3-030-01566-4_5","C. Shoba BinduC. Sasikala","2019","http://link.springer.com/chapter/10.1007/978-3-030-01566-4_5","Chapter"
"Fog computing perception mechanism based on throughput rate constraint in intelligent Internet of Things","Personal and Ubiquitous Computing","","23","3 - 4","10.1007/s00779-019-01200-9","Jiang FeiMa Xiaoping","2019","http://link.springer.com/article/10.1007/s00779-019-01200-9","Article"
"Cloud and Internet of Things Technologies for Supporting In-House Informal Caregivers: A Conceptual Architecture","Recent Advances in Intelligent Assistive Technologies: Paradigms and Applications","","","","10.1007/978-3-030-30817-9_1","Antonio Martinez-MillanaGema Ibanez-SanchezVicente Traver","2020","http://link.springer.com/chapter/10.1007/978-3-030-30817-9_1","Chapter"
"Future Aspects and Challenges of the Internet of Things for the Smart Generation","ICCCE 2018","","","","10.1007/978-981-13-0212-1_61","Chander DiwakerPradeep TomarAtul Sharma","2019","http://link.springer.com/chapter/10.1007/978-981-13-0212-1_61","Chapter"
"Ambient Intelligence in Business Environments and Internet of Things Transformation Guidelines","Guide to Ambient Intelligence in the IoT Environment","","","","10.1007/978-3-030-04173-1_3","Kadir Alpaslan DemirBugra TuranTolga OnelTufan EkinSeda Demir","2019","http://link.springer.com/chapter/10.1007/978-3-030-04173-1_3","Chapter"
"Ubiquitous Computing and Multi-agent Systems: Clarification of the Lexicon","PRIMA 2019:  Principles and Practice of Multi-Agent Systems","","","","10.1007/978-3-030-33792-6_46","Nathan AkyDenis PayetSylvain GirouxRémy Courdier","2019","http://link.springer.com/chapter/10.1007/978-3-030-33792-6_46","Chapter"
"The Naming of the Beast. Scrutinizing Concepts of Technology Rich Futures","Socio-Technical Futures Shaping the Present","","","","10.1007/978-3-658-27155-8_11","Jan NolinGustaf NelhansNasrine Olson","2019","http://link.springer.com/chapter/10.1007/978-3-658-27155-8_11","Chapter"
"Research on the Privacy Security and Defense Strategies on the Internet of Things Platform","Cyber Security Intelligence and Analytics","","","","10.1007/978-3-030-15235-2_34","Qian BianZhenduo WangYingqiang WangWeigang Zhang","2020","http://link.springer.com/chapter/10.1007/978-3-030-15235-2_34","Chapter"
"On the sustainability of smart and smarter cities in the era of big data: an interdisciplinary and transdisciplinary literature review","Journal of Big Data","","6","1","10.1186/s40537-019-0182-7","Simon Elias Bibri","2019","http://link.springer.com/article/10.1186/s40537-019-0182-7","Article"
"Comparative Studies on Activity Recognition of Elderly People Living Alone","Proceedings of 2019 Chinese Intelligent Systems Conference","","","","10.1007/978-981-32-9682-4_29","Zimin XuGuoli WangXuemei Guo","2020","http://link.springer.com/chapter/10.1007/978-981-32-9682-4_29","Chapter"
"Implementation of Industrial Internet of Things in the Renewable Energy Sector","The Internet of Things in the Industrial Sector","","","","10.1007/978-3-030-24892-5_10","Somudeep BhattacharjeeChampa Nandi","2019","http://link.springer.com/chapter/10.1007/978-3-030-24892-5_10","Chapter"
"Security of Big Data in Internet of Things","Ubiquitous Computing and Computing Security of IoT","","","","10.1007/978-3-030-01566-4_2","Rakesh BandarupalliH. Parveen Sultana","2019","http://link.springer.com/chapter/10.1007/978-3-030-01566-4_2","Chapter"
"On the Sustainability and Unsustainability of Smart and Smarter Urbanism and Related Big Data Technology, Analytics, and Application","Big Data Science and Analytics for Smart Sustainable Urbanism","","","","10.1007/978-3-030-17312-8_7","Simon Elias Bibri","2019","http://link.springer.com/chapter/10.1007/978-3-030-17312-8_7","Chapter"
"SMER: a secure method of exchanging resources in heterogeneous internet of things","Frontiers of Computer Science","","13","6","10.1007/s11704-018-6524-3","Yu ZhangYuxing HanJiangtao Wen","2019","http://link.springer.com/article/10.1007/s11704-018-6524-3","Article"
"The History, Present and Future with IoT","Internet of Things and Big Data Analytics for Smart Generation","","","","10.1007/978-3-030-04203-5_3","Neha SharmaMadhavi ShamkuwarInderjit Singh","2019","http://link.springer.com/chapter/10.1007/978-3-030-04203-5_3","Chapter"
"The Internet of Drone Things (IoDT): Future Envision of Smart Drones","First International Conference on Sustainable Technologies for Computational Intelligence","","","","10.1007/978-981-15-0029-9_45","Anand NayyarBao-Le NguyenNhu Gia Nguyen","2020","http://link.springer.com/chapter/10.1007/978-981-15-0029-9_45","Chapter"
"Optimal secret sharing for wireless information security in the era of Internet of Things","Personal and Ubiquitous Computing","","23","5 - 6","10.1007/s00779-019-01226-z","Lei MiaoDingde Jiang","2019","http://link.springer.com/article/10.1007/s00779-019-01226-z","Article"
"A systematic review of crime facilitated by the consumer Internet of Things","Security Journal","","","","10.1057/s41284-019-00211-8","John M. BlytheShane D. Johnson","2019","http://link.springer.com/article/10.1057/s41284-019-00211-8","Article"
"Security Mechanisms for 6LoWPAN Network in Context of Internet of Things: A Survey","Renewable Energy for Smart and Sustainable Cities","","","","10.1007/978-3-030-04789-4_6","Yamina BenslimaneKhelifa BenahmedHassane Benslimane","2019","http://link.springer.com/chapter/10.1007/978-3-030-04789-4_6","Chapter"
"The Internet of Things as a Precondition of Development of the ICT Global Infrastructure","Ubiquitous Computing and the Internet of Things: Prerequisites for the Development of ICT","","","","10.1007/978-3-030-13397-9_104","Elena B. IvushkinaNatalia Z. AlievaIrina B. KushnirOlga M. Kalmykova","2019","http://link.springer.com/chapter/10.1007/978-3-030-13397-9_104","Chapter"
"Technology Trade-offs for IIoT Systems and Applications from a Developing Country Perspective: Case of Egypt","The Internet of Things in the Industrial Sector","","","","10.1007/978-3-030-24892-5_13","Aya Sedky Adly","2019","http://link.springer.com/chapter/10.1007/978-3-030-24892-5_13","Chapter"
