Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Benchmarking Bluetooth SPP Communications for Ubiquitous Computing","Ubiquitous Computing and Ambient Intelligence","","","","10.1007/978-3-319-48799-1_29","Xabier GardeazabalBorja GamechoJulio Abascal","2016","http://link.springer.com/chapter/10.1007/978-3-319-48799-1_29","Chapter"
"Bayesian Probability-Based Motion Estimation Method in Ubiquitous Computing Environments","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_84","Phil Young KimYunsick SungJonghyuk Park","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_84","Chapter"
"Indoor Location-Based Natural User Interface for Ubiquitous Computing Environment","Advances in Parallel and Distributed Computing and Ubiquitous Services","","","","10.1007/978-981-10-0068-3_16","Jeonghoon KwakYunsick Sung","2016","http://link.springer.com/chapter/10.1007/978-981-10-0068-3_16","Chapter"
"Improved Location Estimation Method of Trilateration in Ubiquitous Computing Indoor Environment","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-10-0281-6_24","Jeonghoon KwakHyunseok JangYunsick SungYoung-Sik Jeong","2015","http://link.springer.com/chapter/10.1007/978-981-10-0281-6_24","Chapter"
"Ubiquitous Computing and Multi-agent Systems: Clarification of the Lexicon","PRIMA 2019:  Principles and Practice of Multi-Agent Systems","","","","10.1007/978-3-030-33792-6_46","Nathan AkyDenis PayetSylvain GirouxRémy Courdier","2019","http://link.springer.com/chapter/10.1007/978-3-030-33792-6_46","Chapter"
"Beacon Distance Measurement Method in Indoor Ubiquitous Computing Environment","Advances in Parallel and Distributed Computing and Ubiquitous Services","","","","10.1007/978-981-10-0068-3_15","Yunsick SungJeonghoon KwakYoung-Sik JeongJong Hyuk Park","2016","http://link.springer.com/chapter/10.1007/978-981-10-0068-3_15","Chapter"
"Towards a Design Space for Ubiquitous Computing","Distributed, Ambient, and Pervasive Interactions","","","","10.1007/978-3-319-07788-8_6","Ilya ShmorgunDavid Lamas","2014","http://link.springer.com/chapter/10.1007/978-3-319-07788-8_6","Chapter"
"Programming Ubiquitous Computing Environments","End-User Development","","","","10.1007/978-3-319-18425-8_1","Albrecht Schmidt","2015","http://link.springer.com/chapter/10.1007/978-3-319-18425-8_1","Chapter"
"Evaluating Ubiquitous Computing Environments Using 3D Simulation","Distributed, Ambient, and Pervasive Interactions","","","","10.1007/978-3-319-20804-6_10","Arlindo SantosHelena Rodrigues","2015","http://link.springer.com/chapter/10.1007/978-3-319-20804-6_10","Chapter"
"RA-Ubi: A Reference Architecture for Ubiquitous Computing","Software Architecture","","","","10.1007/978-3-319-09970-5_10","Carlos Alberto MachadoEduardo SilvaThais BatistaJair LeiteElisa Nakagawa","2014","http://link.springer.com/chapter/10.1007/978-3-319-09970-5_10","Chapter"
"Immersiveness of Ubiquitous Computing Environments Prototypes: A Case Study","Distributed, Ambient, and Pervasive Interactions","","","","10.1007/978-3-319-20804-6_22","Tiago AbadeJosé C. CamposRui MoreiraCarlos C. L. SilvaJosé Luís Silva","2015","http://link.springer.com/chapter/10.1007/978-3-319-20804-6_22","Chapter"
"Complex Adaptive Socio-Technical Systems Theory View of Ubiquitous Computing Systems Research","Ubiquitous Computing and Ambient Intelligence. Personalisation and User Adapted Services","","","","10.1007/978-3-319-13102-3_36","Yongming WangJunzhong GuZili Zhou","2014","http://link.springer.com/chapter/10.1007/978-3-319-13102-3_36","Chapter"
"A Safety Guard for Driving Fatigue Detection Based on Left Prefrontal EEG and Mobile Ubiquitous Computing","Internet of Vehicles - Safe and Intelligent Mobility","","","","10.1007/978-3-319-27293-1_17","Jian HeMingwo ZhouChen HuXiaoyi Wang","2015","http://link.springer.com/chapter/10.1007/978-3-319-27293-1_17","Chapter"
"The Role of Ubiquitous Computing and the Internet of Things for Developing 21st Century Skills Among Learners: Experts’ Views","Lifelong Technology-Enhanced Learning","","","","10.1007/978-3-319-98572-5_63","Olga VibergAnna Mavroudi","2018","http://link.springer.com/chapter/10.1007/978-3-319-98572-5_63","Chapter"
