"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2732508","Matthew P. Aylett and Aaron J. Quigley","","","","The Broken Dream of Pervasive Sentient Ambient Calm Invisible Ubiquitous Computing","425--435","","11","calm computing, pervasive computing, ubiquitous computing","10.1145/2702613.2732508","","","","","","","2015","","Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '15","","978-1-4503-3146-3","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","3347757","Santi  Phithakkitnukoon and Teerayut  Horanont and Sourav  Bhattacharya and Yoshihide  Sekimoto","","","","PURBA 2019: The 8th Workshop on Pervasive Urban Applications","954--956","","3","pervasive computing, ubiquitous computing, urban computing, urban informatics","10.1145/3341162.3347757","","","","","","","2019","","Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers","UbiComp/ISWC '19 Adjunct","","978-1-4503-6869-8","London, United Kingdom","ACM","New York, NY, USA"
"article","2905331","Aasheesh  Tandon and Vishwa  Shah and Sachin  Gajjar","","","","Emerging Applications Perspective for Internet of Things","115:1--115:7","115","7","Application Domains, Internet of Things, Pervasive Computing, Ubiquitous Computing, Wireless Sensor Networks","10.1145/2905055.2905331","","","","","","","2016","","Proceedings of the Second International Conference on Information and Communication Technology for Competitive Strategies","ICTCS '16","","978-1-4503-3962-9","Udaipur, India","ACM","New York, NY, USA"
"article","2944925","Rita  Tse and Giovanni  Pau","","","","Enabling Street-level Pollution and Exposure Measures: A Human-centric Approach","1--4","","4","ubiquitous computing, urban sensing","10.1145/2944921.2944925","","","","","","","2016","","Proceedings of the 6th ACM International Workshop on Pervasive Wireless Healthcare","MobiHealth '16","","978-1-4503-4342-8","Paderborn, Germany","ACM","New York, NY, USA"
"article","2757718","Simon  Olberding and J&#252;rgen  Steimle and Suranga  Nanayakkara and Pattie  Maes","","","","CloudDrops: Stamp-sized Pervasive Displays for Situated Awareness of Web-based Information","47--53","","7","Augmented reality, Awareness, Pervasive displays, Ubiquitous computing","10.1145/2757710.2757718","","","","","","","2015","","Proceedings of the 4th International Symposium on Pervasive Displays","PerDis '15","","978-1-4503-3608-6","Saarbruecken, Germany","ACM","New York, NY, USA"
"article","2968309","Chun-Tung  Li and Jiannong  Cao and Tim M. H. Li","","","","Eustress or Distress: An Empirical Study of Perceived Stress in Everyday College Life","1209--1217","","9","eustress, mHealth, stress, ubiquitous computing","10.1145/2968219.2968309","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","3123084","Benjamin  Tag and George  Chernyshov and Kai  Kunze","","","","Facial Temperature Sensing on Smart Eyewear for Affective Computing","209--212","","4","affective computing, pleasure, productivity, sensing, ubiquitous computing","10.1145/3123024.3123084","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3267571","Takuya  Sasatani and Alanson P. Sample and Yoshihiro  Kawahara","","","","3DD Wireless Charging for Indoor Electronics Using Multimode Quasistatic Cavity Resonators","444--447","","4","Ubiquitous Computing, Wireless Power Transfer","10.1145/3267305.3267571","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","2984739","Santi  Phithakkitnukoon and Teerayut  Horanont and Sourav  Bhattacharya and Yoshihide  Sekimoto","","","","PURBA 2016: The 5th Workshop on Pervasive Urban Applications","1339--1342","","4","data mining, smart cities, ubiquitous computing, urban computing, urban informatics","10.1145/2968219.2984739","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct","UbiComp '16","","978-1-4503-4462-3","Heidelberg, Germany","ACM","New York, NY, USA"
"article","3016745","Matteo  Ciman and Michele  Donini and Ombretta  Gaggi and Fabio  Aiolli","","","","Stairstep Recognition and Counting in a Serious Game for Increasing Users' Physical Activity","1015--1033","","19","Activity recognition, Energy consumption, Pervasive and mobile computing, Ubiquitous applications","10.1007/s00779-016-0968-y","Personal Ubiquitous Comput.","November  2016","20","6","","November","2016","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
