title,journal,year,keywords
A context-aware approach in realization of socially intelligent industrial robots,Robotics and Computer-Integrated Manufacturing,2016,"Cognitive robotics, Context-awareness, Probabilistic graphical models, Ontology, Ubiquitous computing"
Efficient Management of Security for Supporting Intrusion Detection in Ubiquitous and Pervasive Environments,Procedia Computer Science,2019,"Ubiquitous system, Intrusion detection system, Trust, Security"
Visualizing the knowledge profile on self-powered technology,Nano Energy,2018,"Self-powered technology, Knowledge profile, Nanogenerator, Knowledge base, Research fronts"
An Object-Oriented Model for Object Orchestration in Smart Environments,Procedia Computer Science,2017,"Smart object, ubiquitous computing, modeling, object-oriented programming, ECA, smartphone, smart spaces, IoT"
Privacy protection by typing in ubiquitous computing systems,Journal of Systems and Software,2016,"Privacy, Type system, Ubiquitous computing, Pervasive systems, Security, Type-checking, Simulation"
Industry 4.0 in manual assembly processes – a concept for real time production steering and decision making,Procedia CIRP,2019,"Industry 4.0, Real-time decision making"
CloudBot: Advanced mobile botnets using ubiquitous cloud technologies,Pervasive and Mobile Computing,2017,"Mobile botnet, Ubiquitous computing, Cloud, Command and control"
Context-awareness: A Key Enabler for Ubiquitous Access to Manufacturing Knowledge,Procedia CIRP,2016,"Knowledge management, Context-awareness, ubiquitous computing, Factory of the future, Intelligent knowledge based systems."
Refinement Strategies for Correlating Context and User Behavior in Pervasive Information Systems,Procedia Computer Science,2015,"Ubiquitous Computing, Context-aware computing, data mining, Formal Concept Analysis ;"
Automatic agent generation for IoT-based smart house simulator,Neurocomputing,2016,"Virtual environment, Autonomous agent, Ubiquitous computing, GUI tool, Behavior planning"
Securing visual search queries in ubiquitous scenarios empowered by smart personal devices,Information Sciences,2020,"Secure data streaming, Ubiquitous computing, Visual search techniques, MPEG-CDVS Standard, Watermarking, Security"
A Privacy Type System for Context-aware Mobile Ambients,Procedia Computer Science,2015,"privacy, type system, ubiquitous computing, security, CCA"
Multisensory fusion based virtual tool wear sensing for ubiquitous manufacturing,Robotics and Computer-Integrated Manufacturing,2017,"Tool wear estimation, Virtual sensing, Feature fusion"
AQUArIUM - A suite of software measures for HCI quality evaluation of ubiquitous mobile applications,Journal of Systems and Software,2018,"Quality characteristics, Software measures, Human-computer interaction, Evaluation, Ubiquitous computing, Mobile devices"
Multi-stage Monitoring of Abnormal Situation Based on Complex Event Processing,Procedia Computer Science,2016,complex event processing ;context awareness ;process monitor
An Automotive Distributed Mobile Sensor Data Collection with Machine Learning Based Data Fusion and Analysis on a Central Backend System,Procedia Technology,2016,"Sensor Cloud, Pervasive Computing, Distributed ML, IoT, Big Data"
Youubi: Open software for ubiquitous learning,Computers in Human Behavior,2016,"Ubiquitous learning, Ubiquitous computing, Software engineering, Design interactive, Gamification"
Ubiquitous computer aided design: A broken promise or a Sleeping Beauty?,Computer-Aided Design,2015,"Ubiquitous computing, Computer aided design, Ubiquitous design enablers, Competing technology exploitation, Ubiquitous CAD applications"
