title,journal,year,abstract
A User-centric Service Framework for Pervasive Computing,2006 First International Symposium on Pervasive Computing and Applications,2006,"In pervasive computing environments, users can interact with a wide range of services, but which do not include legacy application services such as interactive desktop applications. How to use legacy service as a kind of transparent service mechanism in a pervasive computing environment is an important problem to solve during the transition from personal computing to pervasive computing. This paper presents a user-centric service framework that coordinates application services over network and heterogeneous networked devices nearby users to form a user's virtual computing environment. It also provides legacy support without modification to existing softwares based on virtual desktop and virtual device"
A Scalable Pervasive Computing Architecture for Hospital Information System Based on Multi-weight Virtual Machine,2008 Third International Conference on Pervasive Computing and Applications,2008,"A new multi-weight virtual machine based on pervasive computing architecture has been introduced to support the future hospital information system in pervasive computing age. In this architecture, four running modes are defined according to the terminal's hardware performance and the weight of the applications. To realize the architecture, some prototypes have been developed. Compared with the traditional PC-based architecture, VM-based architecture has many advantages in TCO, manageability and availability."
Research on Spatial Location Unit Distribution Model in Pervasive Computing,2009 International Symposium on Intelligent Ubiquitous Computing and Education,2009,"How to obtain location information of an unknown node precisely is a key problem of locating service under ubiquitous computing environment. The paper proposes and proves the theorem of spatial location unit distribution model according to the analysis of the location error produced during location using the polygon location method in the three-dimensional space. On this basis, the location unit selection (LUS) algorithm is proposed by improving on the traditional polygon location algorithm. The simulation results indicate that the location unit distribution model theorem and the LUS algorithm can meet the requirements of a ubiquitous terminalpsilas real-time location and possess a preferable precision in location."
Ubiquitous Computing: Are We There Yet?,,2010,"The widespread deployment of technologies like mobile phones continues to drive new applications and to open research opportunities. This article talks about ubiquitous computing and how people understand and interact with computing. Pervasive computing technologies are transparent to users until the system malfunctions. Minor breakdowns are common, and people get used to them. However, when breakdowns affect ubiquitous systems that have evolved into megautilities, like mobile communication and data networks, we realize just how dependent we have become on the technology."
"Pervasive Computing: Implications, Opportunities and Challenges for the Society",2006 First International Symposium on Pervasive Computing and Applications,2006,"Summary form only given. Pervasive computing, also referred to sometimes as ubiquitous computing deals with the idea of making ""computing power"" available anyplace, anytime in a uniform way so that it may be exploited for meeting the challenges faced by society. The obvious analogy to this is the electric power infrastructures, which made the society's work and play more effective and enjoyable. Can pervasive computing also have a similar or greater impact on society? The answer is undoubtedly a resounding yes. However, we have a long way to go and overcome many a challenge. In this talk, we discuss these issues: the implications, opportunities and challenges pervasive computing. There have been steady advances in the area of computing hardware contributing to the dramatic affordability of computers. The revolution brought about by the Internet and the liberalization of the communications industry has brought the world closer. Now, it is no longer possible to even define what device may be termed a computer as ""computing"" becomes embedded in everyday appliances large and small ranging from cars to washing machines. The merger of computing and communications together with miniaturization is leading the way. However, for the promise of pervasive computing to frilly materialize, technology and support structures need to advance along four directions: computing, communication, cognition, and collaboration - the 4Cs of pervasive computing. Among the 4Cs the first two: computing and communications are rapidly advancing especially with the introduction of GPS as an embedded service. For a user to truly benefit from pervasive computing, the first two Cs are not enough. The supporting systems need to exhibit cognition - an understanding of the situation or ""context awareness"" as it is often called. For over fifty years the field of artificial intelligence has contributed many ideas (expert systems, planning, and natural language understanding - to name a few). The ideas of agent based computing and service based architectures are making contributions in this regard. The field of CSCW (computer supported collaborative work) and related research are contributing to the fourth C as it tries to make the world small by enabling people worldwide to work together - albeit with the great inconvenience of dealing with myriad disparate tools, technologies and standards. It is not difficult to speculate how the world of tomorrow will be as we make steady progress on the 4Cs and the resulting advances in pervasive computing. A few are listed below: knowledge workers - a universal knowledge based assistant that helps you to work seamlessly in your local space or shared space exploiting the ambient computing and connectivity; intelligent transportation - a car that avoids accidents, repairs itself and adapts itself to the geographic location and services that are accessible; pervasive healthcare - physicians who can diagnose and treat (reprogramming a device!) patients anywhere and anytime; context-aware appliances - washing machines that know the requirements of clothes that are about to be washed; and enterprises - routine formation of collaborative enterprises worldwide. These are but a few of the exciting things that await us as we come to terms with pervasive computing. However, we need to be cognizant about the many challenges such as loss of privacy and freedoms that are cherished by the societies"
"A visual, open-ended approach to prototyping ubiquitous computing applications",2010 8th IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOM Workshops),2010,"By nature, ubiquitous computing applications are intimately intertwined with users' everyday life. This situation is challenging because it requires to make the development of applications accessible to end-users. Furthermore, ubiquitous computing consists of a variety of areas, including home automation and assisted living, raising a need for an open-ended approach. We present Pantagruel, a visual programming language that is end-user oriented. Our approach is open-ended in that Pantagruel integrates a language to describe a ubiquitous computing environment. Such description takes the form of a taxonomy, defining the entities relevant to a given ubiquitous computing area. This description serves as a parameter to a sensor-controller-actuator development paradigm. The orchestration of area-specific entities is supported by high-level constructs, customized with respect to taxonomical information. We have implemented a visual environment to prototyping ubiquitous computing applications. Furthermore, we have developed a compiler for Pantagruel that targets a domain-specific middleware. Our environment leverages a 2D Tenderer to enable the simulation and of applications. We successfully simulated a range of applications in various ubiquitous computing areas, such as home automation, assisted living and building management."
Security Issues in Design and Development of High Performance Ubiquitous Computing,2014 International Conference on Computational Intelligence and Communication Networks,2014,"With the advancement of internet and smart devices from decades, Societies appear ready to adopt new technologies as fast as they emerge. In today world, advances are making thoughts into reality. Every day we read about new advancements, one emerging area with such advancement is that of UBIQUITOUS COMPUTING (UbiCom). UbiCom is a latest concept of computing where we can see the use of computing anywhere and everywhere. Sometimes ubiquitous computing is also referred to as pervasive computing which is different from ubiquitous computing. This paper is a review paper in the complex field of ubiquitous computing and security issues involved in it. This paper also shows the future direction of ubiquitous computing."
PCA: A Reference Architecture for Pervasive Computing,2006 First International Symposium on Pervasive Computing and Applications,2006,"With the advanced computing concept of people-oriented and ubiquitous, pervasive computing has become a hot field of computer studies. The rapid development of embedded technology, wireless network technology, mobile computing technology turn pervasive computing theoretical research into practical possibility. To achieve genuine universal computing environment, it is also currently facing many challenges, one of which is its architecture study. View from the current universal calculating developments, a number of pervasive computing models for different specialize areas have been put forward, but also a generic module contains security mechanism for study is absent. According to the current situation and trend of pervasive computing, the service of pervasive environment is categorized into two parts. By considering that idea and all the situations on the basis of collaboration and security, a pervasive computing reference architecture has been put forward. In this paper, we discussed that module, emphasis on it's computing layer and security mechanisms, and other key researches"
Research on Association Securities in Cross-domain Interoperation Model in Pervasive Computing,2008 Third International Conference on Pervasive Computing and Applications,2008,"Cooperation and sharing of resources are needed urgently between domains in pervasive computing environment, so building an effective cross-domain authorization model become a key issue. The IRBAC 2000 model accomplish flexibly interoperation by dynamic inter-domain role mapping, but how to manage the associations is not discussed, which may cause security problems. Algorithms to detect these security issues are proposed, and the experimental results show that our algorithms can improve the security of the model, so the algorithms can be applied as a security checking mechanism during role mapping in pervasive computing environments."
Make IT matter: The opportunities and responsibilities of pervasive computing research,2009 IEEE International Conference on Pervasive Computing and Communications,2009,"Summary form only given. Many technologists have been wooed by the vision of pervasive or ubiquitous computing. We must recall that much of the initial visions of this field urged a human-centric view of the challenges and opportunities. Much of the initial efforts in our field have addressed important technical challenges, but for the overall health and longevity of pervasive computing, we need to think beyond our own relatively small communities. In this talk, we try to show how our field must turn outward and think beyond the formulation of problems that we alone understand. We show some examples that use health, education and the home as case studies."
